,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
timestamp,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
20190222T0000,6.7505283,12.930529,9.351362,67.0,83.0,74.166664,1.08,19.602652,9.24797,57.96708
20190223T0000,2.0805285,13.470529,6.8763623,21.0,86.0,48.041668,8.350138,24.216522,17.010803,99.352974
20190224T0000,0.33052868,11.710529,5.3467784,32.0,59.0,41.75,1.484318,16.179987,7.464993,107.94644
20190225T0000,2.3305285,13.170529,7.2676125,43.0,73.0,54.5,1.5273507,8.373386,4.641996,277.59464
20190226T0000,2.8305285,15.180529,9.363446,55.0,81.0,68.791664,1.1384199,11.183201,6.8731446,102.17918
20190227T0000,4.290529,16.23053,10.473446,41.0,74.0,59.708332,1.5273507,10.315115,5.978043,116.31809
20190228T0000,5.8605285,16.840528,11.260944,41.0,79.0,57375,3.9763298,33.510952,18.078766,258.2271
20190301T0000,6.0705285,10.210529,8.309696,71.0,92.0,79375,6.489992,36.44722,23.211555,267.74246
20190302T0000,3.8405285,13.210529,8.492195,51.0,86.0,72.791664,7.928177,27.359999,14.963134,255.77647
20190303T0000,4.6105285,16.04053,10.466362,40.0,84.0,58.958332,4.6938252,22.493519,12.507268,226.7899
20190304T0000,5.1205287,12.930529,9.545112,39.0,74.0,56.5,12.72283,50.887497,32.88222,243.01799
20190305T0000,3.6905286,12.320529,7.8130283,44.0,78.0,61.458332,9.504273,31.999523,23.898758,247.84393
20190306T0000,0.36052868,17.96053,10.006362,21.0,84.0,48.25,10.464797,20.371038,14.784084,142.79773
20190307T0000,5.6405287,11.470529,8.675946,50.0,81.0,62.75,13.18308,43.672913,24.613203,233.02043
20190308T0000,6.5505285,11.710529,8.502196,43.0,77.0,61.208332,9.178235,26.28,19.932135,252.23474
20190309T0000,6.3205285,13.510529,9.942196,47.0,79.0,67.583336,12.24,36.445442,22.172628,249.6633
20190310T0000,6.6905284,14.8005295,11.340529,59.0,83.0,68.333336,7.653705,45.664692,31.34593,257.44986
20190311T0000,1.3205286,6.0705285,4.104696,58.0,83.0,68875,13.004921,40.480392,27.396378,275.35483
